"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","123832903771949824_1","2025-02-19","Kerala","SYGA 4 Pcs Baby Safety Plastic Locks | Child Proof Cabinets, Drawers, Appliances, Toilet Seat, Fridge and Oven | Tools Not Required | Uses Dual Adhesive Tape and Latch System (Blue)","Baby Safety Cabinet Locks_4 Pcs","Free Size","1","74.0","72.0",
"DELIVERED","123833831919872706_1","2025-02-19","Karnataka","SYGA Baking Stainless Steel Shaker Sieve Cup Manual Flour Sifter with Measuring Scale Mark for Flour Icing Sugar","FlourCup","Free Size","1","161.0","156.0",
"DELIVERED","123833833329254912_1","2025-02-19","Tamil Nadu","SYGA 3 Pcs Baby Headband Set, Soft Stretchable Nylon Bow and Flower Hairbands, Comfortable and Stylish Headscarf for Newborn, Infant, and Toddler (0-3 Years)  ","HB-231","Free Size","1","160.0","160.0",
"RTO_LOCKED","123833940981126976_1","2025-02-19","Meghalaya","SYGA Overlock Overcast Presser Foot Sewing Machine Fits All Low Shank Snap On Machine (, Brother, Singer )","PresserFoot-OverLock-BlackwithLock","Free Size","1","120.0","120.0",
"DELIVERED","123833938196368138_1","2025-02-19","Maharashtra","SYGA Style Cat-Eye Ultra-Light Sunglasses Anti-UV Big Face Myopia Sunglasses","GL-291","Free Size","1","200.0","194.0",
"DELIVERED","123833959636429504_1","2025-02-19","Uttarakhand","SYGA Professional Sketch and Drawing Pencils ?Art Pencil Box Contains 12 Pieces Set B 2B 3B 4B 5B 6B 7B 8B HB H 2H F","PaintingPencils-NewCompass","Free Size","1","75.0","75.0",
"DELIVERED","123834036472019328_1","2025-02-19","Gujarat","SYGA Baby Safety Strip Furniture Edge Guard Cushion Corner Cover 2 Meter 6.5 feet Tape Infant Bump Protector (L Shape_Brown)","Safety Strip Guard Protector_Brown","Free Size","3","105.0","102.0",
"DELIVERED","123834081065724672_1","2025-02-19","Haryana","SYGA Men & Women Suit Shirt Stud Lapel Pin Chain Tassel Brooch Pin with Crystal Chain(golden Rudder)","BROOCH-S137","Free Size","1","159.0","159.0",
"DELIVERED","123834198423312192_1","2025-02-19","Gujarat","SYGA 1 Piece Heavy Duty Carbon Steel Square Bread Loaf Cake Mould Pan Tray for Baking Non Sticky Tin Teflon Coating-22 cm * 4cm cake tins","Square CakePan","Free Size","1","129.0","129.0",
"DELIVERED","123834216436886278_1","2025-02-19","MAHARASHTRA","SYGA Pack of 12 Brown Thick for Baby Child Infant Kids Safety Table, Desk Corner Edge Cushions Guard Protectos","Corner Guard Protectors_Brown","Free Size","1","110.0","107.0",
"DELIVERED","123834575028906688_1","2025-02-19","Maharashtra","SYGA Baby Socks Over-The-Knee Socks For Baby Thin Cotton  Animal Cartoon Socks Suitable For 0-1 Year Old(Green)","BS-205","Free Size","1","204.0","204.0",
"DELIVERED","123834907768198976_1","2025-02-19","Andhra Pradesh","SYGA 5 Pcs Baby Headband, Flower & Bow Stretchable, Nylon HairBand for Newborn Infant Toddlers Kids 0-3 Year-Red","HB-102","Free Size","1","175.0","175.0",
"DELIVERED","123834914423597760_1","2025-02-19","Uttar Pradesh","Service Bell, Desk Bell The Classics All-Metal Call Bell for Hotels, Schools, Restaurants, Reception Areas, Hospitals (Call_Bell)","Call_Bell","Free Size","1","128.0","125.0",
"RTO_COMPLETE","123834984967596736_1","2025-02-19","West Bengal","SYGA Children's Lightweight Schoolbag For Primary School Students,Oxford cloth With Pegasus Design 7 - 12 Years (Pink)","SCHOOLBAG-05","Free Size","1","699.0","699.0",
"DELIVERED","123835281991428864_1","2025-02-19","Andhra Pradesh","SYGA Girls Tights Ballet Dance Socks Cotton Pantyhose Leggings Solid Knitted Stocking For 4-6 Years (Size 110CM-120CM, Pink)","GirlsStockings-Pink-M110-120","5-6 Years","1","265.0","258.0",
"DELIVERED","123835553783548672_1","2025-02-19","Karnataka","SYGA Men Suit Shirt Stud Lapel Pin Chain Tassel Brooch Pin with Golden Wings Pentagram Crystal Chain","BROOCH-S166","Free Size","1","160.0","160.0",
"DELIVERED","123835560749066945_1","2025-02-19","west bengal","SYGA Press on Gel Nails 30 Pcs With Double Sided Jelly Adhesive Nail Glue Nail Filer, Fake Nails Long Lasting Press, Ready made Nails. (FakeNails-F635-15)","FakeNails-F635-15","Free Size","1","136.0","132.0",
"DELIVERED","123835663618662912_1","2025-02-19","Madhya Pradesh","SYGA Women's Metal Waist Chain With  Pendant ","WAISTBELT-02","Free Size","1","170.0","170.0",
"DELIVERED","123835728798185856_1","2025-02-19","Maharashtra","SYGA Baby Safety 4 Corner Guard & 1 Edge Guard with Strong Tape for Baby Safety and Child Proofing(Brown)","EdgeCornerCombo_Brown","Free Size","1","123.0","120.0",
"DELIVERED","123835867277326720_1","2025-02-19","Telangana","SYGA Baby Sunflower Fetal Cap, Infant Warm & Breathable Fabric Hat for 0 to 2 Years-Unisex ( Pink)","BC-178","Free Size","1","205.0","205.0",
"RTO_COMPLETE","123835925552947713_1","2025-02-19","Andhra Pradesh","SYGA Foldable Baby Bottle Drying Racks Pu Material Feeding Cup Nipple Storage Shelf Stand Holder - Blue Drying Rack","BottleDryingRack_Blue","Free Size","1","170.0","170.0",
"DELIVERED","123835860352492038_1","2025-02-19","Maharashtra","SYGA Baby Safety Strip Furniture Edge Guard Cushion Corner Cover 2 Meter 6.5 feet Tape Infant Bump Protector (L Shape_Brown)","Safety Strip Guard Protector_Brown","Free Size","2","105.0","102.0",
"DELIVERED","123835997268023104_1","2025-02-19","Andhra Pradesh","SYGA Baking Stainless Steel Shaker Sieve Cup Manual Flour Sifter with Measuring Scale Mark for Flour Icing Sugar","FlourCup","Free Size","1","171.0","171.0",
