order-id	tracking-id	expected-ship-date	asin	sku	product-name	quantity-purchased	invoice-id	package-identifier	ship-service-level	is-prime	pickup-slot	order-item-id	purchase-date	ship-postal-code	ship-country	ship-city	ship-state	carrier	verge-of-cancellation	verge-of-lateShipment
404-7646311-4530739	347836460647	2025-02-18T18:29:59+00:00	B0D2HB2RGL	WAISTBELT-73	SYGA Women Waist Chain Embroidered Dress, Gold or Midnight, Thin Metal Design	1	IN-310084	404-7646311-4530739	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46700131738882	2025-02-17T17:16:21+00:00	201306	IN	GREATER NOIDA	UTTAR PRADESH	ATS	false	true
403-6509018-6021110	347836412233	2025-02-18T18:29:59+00:00	B0D2HB2RGL	WAISTBELT-73	SYGA Women Waist Chain Embroidered Dress, Gold or Midnight, Thin Metal Design	1	IN-310058	403-6509018-6021110	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46699817022362	2025-02-17T16:46:20+00:00	411004	IN	PUNE	MAHARASHTRA	ATS	false	true
408-1352146-4474752	347836460098	2025-02-18T18:29:59+00:00	B0D9Q17TRC	BL-38	SYGA Girls' Summer Leggings, Pantyhose One Side Thin Star Bow Design XL Size is Suitable for 6-8 Years Old(Pink)	1	IN-309790	408-1352146-4474752	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46689251066762	2025-02-17T09:34:24+00:00	679321	IN	Malappuram	KERALA	ATS	false	true
406-9117454-0888359	347836460739	2025-02-18T18:29:59+00:00	B07YNPZHN2	PlainCap_Pink	SYGA Unisex Cotton Cap (PlainCap_Pink_Pink_S) 6M - 5YEARS	1	IN-310138	406-9117454-0888359	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46702457582162	2025-02-17T18:25:49+00:00	208014	IN	KANPUR	UTTAR PRADESH	ATS	false	true
402-5677868-3181167	347836460753	2025-02-18T18:29:59+00:00	B07YNPQZC1	PlainCap_Orange	SYGA Unisex Small Plain Knitted Baby Cap - 1-3Years, Orange	1	IN-309920	402-5677868-3181167	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46696337192762	2025-02-17T12:52:03+00:00	410209	IN	Navi Mumbai	Maharashtra	ATS	false	true
403-4789861-5669944	347836415258	2025-02-18T18:29:59+00:00	B0D2HB2RGL	WAISTBELT-73	SYGA Women Waist Chain Embroidered Dress, Gold or Midnight, Thin Metal Design	1	IN-310073	403-4789861-5669944	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46701197653042	2025-02-17T16:59:32+00:00	421501	IN	AMBARNATH	MAHARASHTRA	ATS	false	true
404-5043939-9313158	347836460760	2025-02-18T18:29:59+00:00	B09P3FWQGB	L_BabySocks_SweetBunny-0-8 Years	SYGA Baby Socks Kids Toddlers Infant Knee Length Multicolor Socks Warm And Socks Cotton Stretch Crew - 6 Month-4 Years, Sweet Bunny	1	IN-310126	404-5043939-9313158	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46703170181202	2025-02-17T18:12:52+00:00	411057	IN	Pune	MAHARASHTRA	ATS	false	true
171-2180839-7743516	347836415265	2025-02-18T18:29:59+00:00	B0CVSCBV3Q	SK-09	SYGA Tights For Girls Soft Cotton Infant Leggings Toddler One Side Flower Stockings Pants, Suitable For All Seasons (4-6 Years, Grey)	1	IN-310174	171-2180839-7743516	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46704913900442	2025-02-17T19:28:19+00:00	263139	IN	Haldwani	UTTARAKHAND	ATS	false	true
404-9011980-4251540	347836460777	2025-02-18T18:29:59+00:00	B0CKXC6QP8	SOCKS-SET5-WHITE-FLOWER	SYGA 5 Pairs Baby Girl & Baby Boy Socks, Toddlers Infant Cotton Warm Stretch Crew Length Socks With Mesh Princess Design, Suitable For 9 Months To 2 Years Baby, Multicolor	1	IN-309880	404-9011980-4251540	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46695426546042	2025-02-17T11:41:45+00:00	263153	IN	RUDRAPUR	UTTARAKHAND	ATS	false	true
403-4065415-5488311	347836460784	2025-02-18T18:29:59+00:00	B0CVRNZ6QJ	SK-02	SYGA Tights For Girls Soft Cotton Infant Leggings Toddler One Side Flower Stockings Pants, Suitable For All Seasons (2-4 Years, Pink)	1	IN-309774	403-4065415-5488311	Standard	true	Tue, Feb 18 2025, 4:00 PM-5:00 PM	46688879964322	2025-02-17T09:20:57+00:00	143410	IN	AMRITSAR	PUNJAB	ATS	false	true
