orderid,Qty,output_pdf_location,sku
171-2845311-1320312,1,outputs/amazon_output_pdfs/Order_171-2845311-1320312.pdf,BabyLeggings-White-12-24M
406-5009302-1645100,1,outputs/amazon_output_pdfs/Order_406-5009302-1645100.pdf,BC-11
408-9532857-1700311,1,outputs/amazon_output_pdfs/Order_408-9532857-1700311.pdf,BC-19
402-0163312-9796309,1,outputs/amazon_output_pdfs/Order_402-0163312-9796309.pdf,BL-226
408-1062889-6730748,1,outputs/amazon_output_pdfs/Order_408-1062889-6730748.pdf,BL-239
407-5220069-8997144,1,outputs/amazon_output_pdfs/Order_407-5220069-8997144.pdf,BL-Packof3-BlackPinkDarkGrey-2-4Y
402-5614829-0408342,1,outputs/amazon_output_pdfs/Order_402-5614829-0408342.pdf,BS-141
402-9930911-7541906,1,outputs/amazon_output_pdfs/Order_402-9930911-7541906.pdf,BS-55
407-0582467-6599540,1,outputs/amazon_output_pdfs/Order_407-0582467-6599540.pdf,BS-55
406-7946998-7404354,1,outputs/amazon_output_pdfs/Order_406-7946998-7404354.pdf,BS-76
407-3187133-5309107,1,outputs/amazon_output_pdfs/Order_407-3187133-5309107.pdf,BS-78
404-8158487-5877929,1,outputs/amazon_output_pdfs/Order_404-8158487-5877929.pdf,Cap-PrintedBalaclava-Khaki
171-3453045-5465954,1,outputs/amazon_output_pdfs/Order_171-3453045-5465954.pdf,Cap-RabbitCartoon-Grey
402-0277767-4879565,1,outputs/amazon_output_pdfs/Order_402-0277767-4879565.pdf,CBS-31
171-5643550-4850740,1,outputs/amazon_output_pdfs/Order_171-5643550-4850740.pdf,EM-03
408-8123717-2932302,1,outputs/amazon_output_pdfs/Order_408-8123717-2932302.pdf,EM-46
406-0253245-2944373,1,outputs/amazon_output_pdfs/Order_406-0253245-2944373.pdf,EM-46
403-2001259-5045919,1,outputs/amazon_output_pdfs/Order_403-2001259-5045919.pdf,EM-46
402-4773044-5023532,1,outputs/amazon_output_pdfs/Order_402-4773044-5023532.pdf,MenWinterHats_Navy
404-2203742-3288332,1,outputs/amazon_output_pdfs/Order_404-2203742-3288332.pdf,PA-02
406-0319108-2451552,1,outputs/amazon_output_pdfs/Order_406-0319108-2451552.pdf,PrintedFlowerHat-Grey
403-3761242-2214712,1,outputs/amazon_output_pdfs/Order_403-3761242-2214712.pdf,ScarfCap_Beige
406-7108043-8821909,1,outputs/amazon_output_pdfs/Order_406-7108043-8821909.pdf,SCHOOLBAG-131
402-6864574-3510704,1,outputs/amazon_output_pdfs/Order_402-6864574-3510704.pdf,SCHOOLBAG-136
405-7200542-5641935,1,outputs/amazon_output_pdfs/Order_405-7200542-5641935.pdf,SOCKS-SET5-DARK-THEME
403-0757343-2378718,1,outputs/amazon_output_pdfs/Order_403-0757343-2378718.pdf,SOCKS-SET5-DARK-THEME
407-0530887-8235511,1,outputs/amazon_output_pdfs/Order_407-0530887-8235511.pdf,SOCKS-SET5-PURPLE-STRAW
407-0551522-3711545,1,outputs/amazon_output_pdfs/Order_407-0551522-3711545.pdf,SWIM-04
405-0721237-1630702,1,outputs/amazon_output_pdfs/Order_405-0721237-1630702.pdf,SWIM-04
407-4664187-4687557,1,outputs/amazon_output_pdfs/Order_407-4664187-4687557.pdf,WAISTBELT-46
405-1644046-8441152,1,outputs/amazon_output_pdfs/Order_405-1644046-8441152.pdf,WC-02
403-1521759-9934715,1,outputs/amazon_output_pdfs/Order_403-1521759-9934715.pdf,WC-44
171-3794028-9127506,1,outputs/amazon_output_pdfs/Order_171-3794028-9127506.pdf,WC-44
405-8514776-2725967,1,outputs/amazon_output_pdfs/Order_405-8514776-2725967.pdf,WC-44
406-4266161-2885967,1,outputs/amazon_output_pdfs/Order_406-4266161-2885967.pdf,WC-70
407-7455542-8635558,1,outputs/amazon_output_pdfs/Order_407-7455542-8635558.pdf,WC-71
408-5877188-6638762,1,outputs/amazon_output_pdfs/Order_408-5877188-6638762.pdf,WC-71
402-2618476-5173953,1,outputs/amazon_output_pdfs/Order_402-2618476-5173953.pdf,WP-179
408-0964798-6880345,1,outputs/amazon_output_pdfs/Order_408-0964798-6880345.pdf,10L_WaterPouch_BlueValve
408-7205091-9600300,1,outputs/amazon_output_pdfs/Order_408-7205091-9600300.pdf,10L_WaterPouch_BT
406-3431598-7684352,1,outputs/amazon_output_pdfs/Order_406-3431598-7684352.pdf,6KnifeSet_Black
171-9383630-0501934,1,outputs/amazon_output_pdfs/Order_171-9383630-0501934.pdf,8BonSticks_33CookieCutter
408-6570046-0279542,1,outputs/amazon_output_pdfs/Order_408-6570046-0279542.pdf,BabyBlanket_Avocado
402-3304274-6094713,1,outputs/amazon_output_pdfs/Order_402-3304274-6094713.pdf,Beads_QL-0020
407-1160717-3234745,1,outputs/amazon_output_pdfs/Order_407-1160717-3234745.pdf,BottleRack_Blue
402-2635991-3217963,1,outputs/amazon_output_pdfs/Order_402-2635991-3217963.pdf,BottleRack_Blue
404-7483960-1241924,1,outputs/amazon_output_pdfs/Order_404-7483960-1241924.pdf,BottleRack_Pink
171-5588667-1999566,1,outputs/amazon_output_pdfs/Order_171-5588667-1999566.pdf,BR-03
406-5348016-4864352,1,outputs/amazon_output_pdfs/Order_406-5348016-4864352.pdf,BR-03
404-6425490-5949118,1,outputs/amazon_output_pdfs/Order_404-6425490-5949118.pdf,Cake Smoother
171-8930144-2305166,1,outputs/amazon_output_pdfs/Order_171-8930144-2305166.pdf,Cake Smoother
404-9769494-3253914,1,outputs/amazon_output_pdfs/Order_404-9769494-3253914.pdf,COMPASS-BLUE
408-3057399-3595554,1,outputs/amazon_output_pdfs/Order_408-3057399-3595554.pdf,CutePuppyCap_Black
405-8777376-3567504,1,outputs/amazon_output_pdfs/Order_405-8777376-3567504.pdf,"DeskPad-Pink,Blue"
403-7990044-6000354,1,outputs/amazon_output_pdfs/Order_403-7990044-6000354.pdf,FOCUSDSLR STRAP
171-5303444-6874733,1,outputs/amazon_output_pdfs/Order_171-5303444-6874733.pdf,FOCUSDSLR STRAP
404-6491790-4624336,1,outputs/amazon_output_pdfs/Order_404-6491790-4624336.pdf,FruitPicker
404-5154572-2760332,1,outputs/amazon_output_pdfs/Order_404-5154572-2760332.pdf,Goggles-Modern-Black
403-9745381-3394704,1,outputs/amazon_output_pdfs/Order_403-9745381-3394704.pdf,Goggles-Modern-Black
171-9164196-8675503,1,outputs/amazon_output_pdfs/Order_171-9164196-8675503.pdf,Goggles-Modern-Black
407-2179941-3542741,1,outputs/amazon_output_pdfs/Order_407-2179941-3542741.pdf,Goggles-Round-MilkyFrame&TeaSlices
404-8253404-8260357,1,outputs/amazon_output_pdfs/Order_404-8253404-8260357.pdf,LargeBakingMat_1
404-3942017-8706728,1,outputs/amazon_output_pdfs/Order_404-3942017-8706728.pdf,LargeBakingMat_1
405-8844823-5365956,1,outputs/amazon_output_pdfs/Order_405-8844823-5365956.pdf,MicrophoneStand_Black
405-5401485-7977106,1,outputs/amazon_output_pdfs/Order_405-5401485-7977106.pdf,OvenThermometer
171-8821976-3985917,1,outputs/amazon_output_pdfs/Order_171-8821976-3985917.pdf,OvenThermometer
407-4631572-2522704,1,outputs/amazon_output_pdfs/Order_407-4631572-2522704.pdf,OvenThermometer
408-0817949-7206733,1,outputs/amazon_output_pdfs/Order_408-0817949-7206733.pdf,PencilStandBag-6874Blue
171-9444256-5817919,1,outputs/amazon_output_pdfs/Order_171-9444256-5817919.pdf,PlainCap_Blue
403-9082632-9350711,1,outputs/amazon_output_pdfs/Order_403-9082632-9350711.pdf,PlainCap_Blue
405-0446578-9181961,1,outputs/amazon_output_pdfs/Order_405-0446578-9181961.pdf,Racquet-Grip-Black-2
407-6847127-3731511,1,outputs/amazon_output_pdfs/Order_407-6847127-3731511.pdf,Racquet-Grip-SkyBlue-2
