Qty,sku,Items,shipment_id,Qty MRP
1,BL-75,1,11156698259,
1,BC-57,1,11156657011,
1,ChildrenSmallBag- PinkCat,1,11155289528,
1,BabyHandmadeHat- Red,1,11156849422,
1,HeadBand-Nylon- Blue,1,11154984279,
1,BS-140,1,11155518580,
1,BabyLeggings- Black-0-6M,1,11156821446,
1,WaistBelt-Diamond- White,1,11154698384,
1,Children-MiniBag- Purple,1,11156233086,
1,PlainCap_Pink,1,11156403408,
1,HeadBand-Nylon- White,1,11155857929,
1,PrintedFlowerHat_Pink&Blue,1,11156835120,
1,BS-59,1,11155882232,
1,BL-Packof3- BlackPinkDarkGrey-4-6Y,1,11155555764,
1,BL-Packof3- WhitePurpleGrey-4-6Y,1,11156211614,
1,BabyLeggings-Pink- 4-6Y,1,11156514637,
1,SOCKS-SET5-CAR,1,11156839798,
1,BabyHatButton- Black,1,11155215769,
1,BL-Packof3- BlackPinkDarkGrey-4-6Y,1,11155229005,
1,SOCKS-SET5-ROSE,1,11156828739,
1,S_BabySocksSet 1,1,11155552059,
1,SOCKS-SET5-CAR,1,11156495073,
1,ChildrenBag- Dinosaur-Blue,1,11156800160,
1,Children- BowRabbitBag-Yellow,1,11155870743,
1,SOCKS-SET5-CAR,1,11155584315,
1,EM-55,1,11155283741,
1,BL-Packof3- WhitePurpleGrey-12-24M,1,11156659244,
1,SCHOOLBAG-138,1,11154284094,
1,BS-71,1,11155224911,
1,SOCKS-SET5- PURPLE-STRAW,1,11156812775,
1,BS-138,1,11156668625,
1,BS-141,1,11156067431,
1,BL-Packof3- WhitePurpleGrey-12-24M,1,11156812718,
1,BL-Packof3- BlackPinkDarkGrey-12-24M,1,11154982439,
1,BL-Packof3- WhitePurpleGrey-6-12M,1,11156473264,
1,SOCKS-SET5- CLOUD,1,11156512864,
1,SOCKS-SET5-DUCK,1,11156242776,
1,BS-05,1,11156498718,
1,HB-130,1,11155940381,
1,BC-178,1,11155633946,
1,ManualBreastPump_LongBottle,1,11155276262,
1,Safety Strip Guard Protector_Brown,1,11156884490,
1,HB-102,1,11156503488,
1,0to9_Stencils,1,11155811787,
1,Baby Safety Cabinet Locks_8 Pcs,1,11156811646,
1,HB-243,1,11156806261,
1,SteamerPlate,1,11156682317,
1,145_PaintColors_PinkHorse,1,11156662661,
1,BowHeadBand- Color1008,1,11155971895,
1,HB-Flower-White,1,11156506194,
1,Goggles-PigStyle- Red,1,11156463175,
1,Goggles-PigStyle- Green,1,11156475474,
1,SafetyPin- PackOf12,1,11156673757,
1,L_BabySocks_Tigger-0-8 Years,1,11156829303,
1,ChildrenPopitBag- Color3,1,11156450092,
1,WC-54,1,11156806084,
1,BucketHat-Giraffe- Blue,1,11156853508,
1,HeadBand- DoubleFlower-WineRed,1,11155245298,
1,CrownStarHairBand_NewSilver,1,11156853618,
1,TurbonHeadWrap_DarkPink,1,11156685078,
1,Goggles-paramour- Black&Black,1,11156801710,
1,10-HairPin-Rainbow,1,11155773519,
1,Goggles-EarTie- Pink,1,11156519499,
1,HeadBand-Solid- Purple,1,11156479099,
1,KnitCap-Purple,1,11156047658,
1,PrintedCap- SinglePiece-Floral,1,11155979434,
1,HeadBand-Turbon- WineRed,1,11155776493,
1,HeadBand-Knotted- White,1,11156885268,
1,BowHeadBand- Color1008,1,11155868252,
1,GL-283,1,11156882147,
1,PrintedHeadBand- Purple-Pink-MintGreen,1,11155345994,
1,GL-278,1,11155270532,
